alim_code;alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
20700;Légume sec, cuit (aliment moyen);;8,38;12,1;0,62
20517;Fève à écosser, fraîche;-;6,76;4,2;0,67
20521;Lentille, germée;-;8,86;19;0,58
20534;Lupin, graine crue;-;36,2;21,5;9,74
20536;Fève, fraîche, surgelée;-;7,5;7,95;0,22
20537;Haricot flageolet, surgelé;-;9,32;25,6;0,7
20541;Fève, pelée, surgelée, crue;-;14,9;14,9;0,3
20501;Haricot blanc, sec;-;19,1;43,9;1,78
20504;Lentille, sèche;-;25,4;50,6;1,34
20515;Pois cassé, sec;-;22,8;52;1,44
20516;Pois chiche, sec;-;20,5;47,5;5,85
20518;Fève, sèche;-;26,1;33,3;1,53
20525;Haricot rouge, sec;-;22,5;46,1;1,06
20530;Haricot mungo, sec;-;24,5;47,6;1,42
20535;Lentille corail, sèche;-;27,7;44,9;0,8
20539;Haricot flageolet, vert, sec;-;19,1;42,1;2,6
20585;Lentille verte, sèche;-;25,1;44,5;1,8
20586;Lentille blonde, sèche;-;26,1;48,3;1,9
13000;Abricot, dénoyauté, cru;45,9;0,81;9,01;< 0,5
13002;Ananas, pulpe, cru;54,4;< 0,5;11,7;< 0,5
13005;Banane, pulpe, crue;90,5;1,06;19,7;< 0,5
13007;Cassis, cru;-;1,33;9,68;0,86
13008;Cerise, dénoyautée, crue;55,7;0,81;13;< 0,3
13009;Citron, pulpe, cru;27,6;< 0,5;1,56;< 0,5
13010;Coing, cru;-;0,51;13,4;0,1
13012;Figue, crue;69,4;1,19;13,5;< 0,5
13014;Fraise, crue;38,6;0,63;6,03;< 0,5
13015;Framboise, crue;49,2;1,19;5,83;0,8
13016;Fruit de la passion ou maracudja, pulpe et pépins, cru;101;2,13;10,9;3
13018;Grenade, pulpe et pépins, crue;80,6;1,44;14,3;1,2
13019;Groseille, crue;68,5;1,56;7,06;0,7
13020;Groseille à maquereau, crue;-;0,75;4,88;0,59
13021;Kiwi, pulpe et graines, cru;60,5;0,88;11;0,6
13023;Litchi, pulpe, cru;81;1,13;16,1;< 0,5
13024;Clémentine ou Mandarine, pulpe, crue;47,3;0,81;9,17;< 0,5
13025;Mangue, pulpe, crue;73,9;0,63;14,3;< 0,5
13026;Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;62,7;1,13;14,8;< 0,5
13027;Mirabelle, crue;76,9;0,63;18;< 0,5
13028;Myrtille, crue;57,7;0,87;10,6;0,33
13029;Mûre (de ronce), crue;47,3;1,13;6,53;0,7
13030;Nectarine ou brugnon, pulpe et peau, crue;-;1,16;8,9;0,31
13034;Orange, pulpe, crue;45,5;0,75;8,03;< 0,5
13035;Papaye, pulpe, crue;42,2;0,75;8,53;< 0,3
13036;Pastèque, pulpe, crue;38,9;0,69;8,33;< 0,5
13037;Poire, pulpe et peau, crue;-;0,49;10,9;0,27
13039;Pomme, pulpe et peau, crue;-;0,25;11,6;0,25
13040;Pomelo (dit Pamplemousse), pulpe, cru;39,8;< 0,5;8,02;< 0,5
13041;Prune Reine-Claude, crue;71,3;0,94;16,4;< 0,5
13043;Pêche, pulpe et peau, crue;-;1,08;9;0,33
13044;Raisin blanc, à gros grain (type Italia ou Dattier), cru;73,4;0,75;16,6;< 0,5
13045;Raisin noir, cru;-;0,63;15,6;0,4
13047;Rhubarbe, tige, crue;-;0,78;1,47;0,23
13050;Pomme, pulpe, crue;-;0,27;10,7;0,13
13054;Carambole, pulpe, crue;-;1,15;3,9;0,32
13056;Anone ou chérimole, pulpe, crue;-;1,72;15,4;0,64
13061;Feijoa, pulpe, crue;-;0,71;8,2;0,42
13063;Figue de Barbarie, pulpe et graines, crue;-;0,37;6;0,31
13066;Kaki, pulpe, cru;68,6;0,88;14,3;< 0,3
13067;Citron vert ou Lime, pulpe, cru;40,2;1,13;3,14;< 0,3
13071;Mûre noire (du mûrier), crue;-;1,44;8,1;0,39
13077;Ramboutan, pulpe, crue;-;0,65;20;0,21
13080;Tamarin, fruit mûr, pulpe, cru;-;2,65;57,4;0,6
13083;Goyave, pulpe, crue;-;1,59;9,02;0,73
13085;Pomme Canada, pulpe, crue;-;0,4;11,6;0,1
13086;Pomme Golden, pulpe, crue;54,9;< 0,5;11,7;< 0,5
13100;Prune, crue;-;0,66;9,92;0,29
13101;Raisin Chasselas, cru;79,1;0,75;16,9;0,5
13107;Poire, pulpe, crue;-;0,3;10,4;0,1
13110;Griotte, crue;-;1,1;10,5;0,3
13112;Raisin, cru;-;0,72;15,7;0,16
13113;Canneberge ou cranberry, crue;-;0,75;7,6;0,13
13121;Pomme Granny Smith, pulpe, crue;53,9;< 0,5;11,4;< 0,5
13122;Pomme Granny Smith, pulpe et peau, crue;51,5;< 0,5;10,7;< 0,5
13125;Citron, zeste, cru;-;1,38;5,4;0,3
13126;Sureau, baie, crue;-;0,64;11,4;0,5
13132;Myrtille, surgelée, crue;-;0,68;8,9;0,43
13134;Salade de fruits, crue;-;0,5;11,4;0,15
13136;Framboise, surgelée, crue;-;1,16;6,43;0,8
13148;Nectarine ou brugnon, jaune, pulpe et peau, crue;51,3;0,69;11,3;< 0,5
13149;Nectarine ou brugnon, blanche, pulpe et peau, crue;51,8;0,81;11,4;< 0,5
13150;Mûre (de ronce), surgelée, crue;-;1,22;10,7;0,42
13179;Pomelo (dit Pamplemousse) jaune, pulpe, cru;-;0,69;7,31;0,1
13180;Pomelo (dit Pamplemousse) rose, pulpe, cru;-;0,77;6,2;0,14
13188;Poire Conférence, pulpe, crue;53,1;< 0,5;11,4;< 0,5
13189;Poire Williams, pulpe, crue;54,1;< 0,5;11,5;< 0,5
13190;Pomme Chantecler, pulpe, crue;51,8;< 0,5;11,2;< 0,5
13191;Pomme Gala, pulpe, crue;54,5;< 0,5;11,9;< 0,5
13192;Pomme Pink lady, pulpe, crue;60,1;< 0,5;12,8;< 0,5
13193;Pêche blanche, pulpe et peau, crue;47,2;0,69;9,48;< 0,5
13194;Pêche blanche, pulpe, crue;46,1;0,63;9,63;< 0,5
13195;Pêche jaune, pulpe, crue;46,3;0,69;9,8;< 0,5
13529;Dourian, pulpe, cru;-;1,47;23,3;5,33
13549;Kumquat, sans pépin, cru;-;1,57;9,6;1,18
13552;Longan, pulpe, cru;-;1,31;14;0,1
13614;Pamplemousse chinois, pulpe, cru;-;0,76;8,62;0,04
13620;Pomme Golden, pulpe et peau, crue;57,1;< 0,5;12,8;< 0,5
13621;Raisin noir Muscat, cru;90,1;0,69;20;< 0,5
13742;Melon miel ou melon honeydew, pulpe, cru;-;0,58;4,3;0,17
13997;Fruits rouges, crus (framboises, fraises, groseilles, cassis);-;1,11;7,88;0,31
13999;Fruit cru (aliment moyen);59,5;0,7;11,6;0,26
13038;Compote de pomme;102;0,23;24,4;0,21
13048;Rhubarbe, tige, cuite, sucrée;-;0,39;29,2;0,05
13108;Compote, tout type de fruits;102;< 0,5;23,9;0,092
13109;Compote, tout type de fruits, allégée en sucres;66;< 0,5;15,3;0,08
13128;Chayote ou christophine ou chouchou, crue;-;0,72;2,8;0,12
13129;Compote, tout type de fruits, allégée en sucres, rayon frais;-;0,32;14,9;0,48
13151;Compote de pomme, allégée en sucres;65,1;< 0,5;15,1;0,08
13152;Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);-;0,32;19,5;0,2
13153;"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""";58,9;< 0,5;13,4;< 0,3
13154;Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient);-;0,41;16,9;0,56
13175;Pomme, pulpe, rôtie/cuite au four;-;< 0,5;21;< 0,5
13176;Pomme, pulpe, bouillie/cuite à l'eau;-;0,26;11,2;0,36
13185;Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen);80,1;0,25;18,6;0,15
13187;"Purée de pommes, type ""compote sans sucres ajoutés""";56,4;1,13;11,7;< 0,3
13998;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);-;0,8;25,1;0,54
13704;Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);;0,5;16,2;0,25
13705;Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);;0,25;16,2;0,25
13706;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;-;< 0,5;17,4;< 0,5
13707;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;-;< 0,5;18,3;< 0,5
13708;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;-;< 0,5;14,4;< 0,5
13709;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;-;< 0,5;14,5;0,061
13712;Abricot au sirop léger, appertisé, égoutté;-;0,94;13,7;< 0,5
13713;Abricot au sirop léger, appertisé, non égoutté;-;0,81;14;0,043
13714;Abricot au sirop, appertisé, égoutté;-;0,5;16,2;< 0,5
13715;Abricot au sirop, appertisé, non égoutté;-;0,29;16,6;< 0,5
13716;Ananas au jus d'ananas, égoutté, appertisé;-;< 0,5;13,6;< 0,5
13717;Ananas au jus d'ananas, appertisé, non égoutté;-;< 0,5;13,6;< 0,5
13718;Ananas au sirop léger, appertisé, égoutté;-;< 0,5;15,9;< 0,5
13719;Ananas au sirop léger, appertisé, non égoutté;-;< 0,5;16;0,078
13730;Pêche au sirop léger, appertisée, égouttée;-;0,5;13,8;< 0,5
13731;Pêche au sirop léger, appertisée, non égouttée;-;0,31;14,1;0,038
13734;Poire au sirop léger, appertisée, égouttée;64,9;< 0,5;13,9;0,4
13735;Poire au sirop léger, appertisée, non égouttée;-;0,3;14,5;0,12
13001;Abricot, dénoyauté, sec;239;2,88;59,1;0,5
13011;Datte, pulpe et peau, sèche;-;1,81;64,7;0,25
13013;Figue, sèche;-;2,99;54,3;0,87
13042;Pruneau, sec;229;1,63;55,4;0,4
13046;Raisin, sec;321;3;73,2;0,9
13051;Mélange apéritif de fruits exotiques, sec;389;2,19;69,5;10,5
13089;Banane, pulpe, sèche;-;3,89;78,4;1,81
13111;Pomme, sèche;-;0,78;57,2;0,31
13118;Pêche, sèche;-;5;68,9;1
13178;Canneberge ou cranberry, séchée, sucrée;333;< 0,5;76,4;1
13623;Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);200;2,31;51,1;0,4
13400;Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;-;0,28;13,3;0,1
13401;Abricot pays, pulpe, cru, prélevé à la Martinique;-;0,48;10,8;0,05
13402;Ananas, pulpe, cru , prélevé à la Martinique;-;0,56;-;0
13403;Caïmite, pulpe, cru, prélevé à la Martinique;-;0,31;-;2,87
13404;Cerise acérola, pulpe, crue, prélevée à la Martinique;-;0,56;-;0,097
13405;Chadèque, pulpe, cru, prélevé à la Martinique;-;0,48;-;0,3
13406;Chips d'abricot pays, pulpe, prélevé à la Martinique;-;0,96;68,7;18,7
13407;Goyave, pulpe, purée, prélevée à la Martinique;-;0,83;-;0,0067
13408;Jus de carambole, prélevé à la Martinique, jus filtré;-;4,52;-;0,15
13409;Jus de carambole, prélevée à la Martinique, jus non filtré;-;0,063;-;0,03
13410;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;-;0,48;-;0,14
13411;Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;-;0,69;-;0,46
13412;Jus de corossol, prélevé à la Martinique;-;0,65;-;0,43
13413;Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;-;1,08;-;0,37
13414;Jus de grenade, prélevée à la Martinique;-;0,69;-;0
13415;Jus de lime, pur jus, prélevé à la Martinique;-;0,35;-;0,57
13416;Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;-;-;-;-
13417;Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;-;0,61;8,63;0,57
13418;Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;-;0,6;10,8;0
13419;Jus de moubin, pur jus, prélevé à la Martinique;-;0,88;-;0,19
13420;Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;-;0,42;-;0,19
13421;"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";-;0,29;7,13;0,19
13422;"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";-;0,44;6,55;0,28
13423;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";-;0,69;9,97;0,21
13424;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";-;0,67;6,34;0,26
13425;Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;-;-;-;-
13426;Mango bassignac, pulpe, cru, prélevé à la Martinique;-;0,32;18,5;traces
13427;Mango moussache, pulpe, cru, prélevé à la Martinique;-;1,28;20,9;traces
13428;Mangue julie, pulpe, crue, prélevée à la Martinique;-;0,71;18,3;traces
13429;Mangue verte, pulpe, crue, prélevée à la Martinique;-;1,31;12,2;traces
13430;Melon, pulpe, cru, prélevé à la Martinique;-;1,08;-;0,047
13431;Orange (variété locale), pulpe, prélevée à la Martinique;-;0,6;-;0,67
13432;Orange amère, pulpe, crue, prélevée à la Martinique;-;0,73;-;0,43
13433;Pastèque, pulpe, crue, prélevée à la Martinique;-;0,77;-;0,26
13434;Pomme cajou, pulpe, crue, prélevée à la Martinique;-;0,79;-;0,11
13435;Pomme cannelle,  pulpe, crue, prélevée à la Martinique;-;1,48;-;0,57
13436;Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;-;0,44;-;0,023
13437;Pomme liane, pulpe, crue, prélevée à la Martinique;-;0,88;-;0,22
13438;Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;-;0,54;-;0,03
13439;Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;-;0,6;-;0,07
13440;Jacques, pulpe, cru, prélevé à la Martinique;-;1,98;-;0,21
13200;Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.);88,8;0,75;19,3;0,5
13201;Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen);71,8;0,94;15,1;< 0,3
13202;Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.);40;0,56;7,88;< 0,3
9570;Farine de châtaigne;-;5,69;70,4;3,43
15000;Amande (avec peau);-;18,8;9,51;51,3
15001;Cacahuète ou Arachide;-;22,8;14,8;49,1
15002;Cacahuète, grillée, salée;-;22,9;15;50
15004;Noisette;-;14,4;7,16;56,9
15005;Noix, séchée, cerneaux;-;13,3;6,88;67,3
15006;Noix de coco, amande mûre, fraîche;-;3,33;6,22;33,5
15007;Noix de coco, amande, sèche;-;6,62;8,55;66,3
15008;Noix du Brésil;-;14,8;6,17;66,1
15009;Pistache, grillée, salée;-;18,9;15,9;49,5
15010;Sésame, graine;-;17,6;9,85;49,7
15011;Tournesol, graine;-;21,3;10,1;55,5
15013;Crème de marrons;-;1,28;55;0,67
15014;Noix de coco, amande immature, fraîche;-;3,33;6,22;33,5
15016;Crème de marrons vanillée, appertisée;-;0,96;59,8;0,7
15018;Mélange apéritif de graines salées et raisins secs;560;16,6;27,1;39,6
15019;Noix de cajou, grillée, salée;-;15,2;26,7;49,5
15020;Châtaigne, bouillie/cuite à l'eau;-;2;23;1,38
15021;Châtaigne, grillée;-;3,17;47,9;2,2
15023;Noix, fraîche;-;11;9,94;31,8
15024;Châtaigne, crue;-;1,81;36,5;2,23
15025;Pignon de pin;-;13,7;6,31;65
15026;Noix de pécan;-;9,57;5,43;72,6
15027;Noix de macadamia;-;7,91;5,22;75,8
15028;Cucurbitacées, graine;-;30,2;4,71;49,1
15029;Luzerne, graine germée;-;3,28;0,91;0,7
15032;Luzerne, graine;-;29,7;39,3;12,6
15033;Noisette grillée;-;14,4;5,21;66
15034;Lin, graine;-;20,2;6,6;36,6
15035;Sésame, graine décortiquée;-;21,1;4,5;56,1
15037;Cacahuète, grillée à sec, salée;-;21,6;18,2;47,7
15038;Sésame, grillé, graine décortiquée;-;17;9,14;48
15039;Châtaigne ou Marron, appertisé;-;1,96;28,8;1,4
15041;Amande, mondée, émondée ou blanchie;-;21,4;8,76;52,5
15042;Amande, grillée, salée;-;21,1;8,72;53,9
15043;Noix de macadamia, grillée, salée;-;7,04;9,95;70,2
15044;Pistache, grillée;-;18,4;18,6;47,4
15045;Tournesol, graine, grillé, salé;-;19,3;15,1;49,8
15046;Noix de pécan, salées;-;10,2;5;73
15047;Chia, graine, séchée;-;16,5;7,72;30,7
15048;Mélange apéritif de graines (non salées) et fruits séchés;-;8,29;32,2;26,3
15049;Mélange apéritif de graines (non salées) et raisins secs;541;12,5;31,8;37,2
15050;Noisette grillée, salée;-;13,4;7,67;61,2
15052;Lin, brun, graine;-;18;3,56;42,2
15053;Cacahuète, grillée, sans sel ajouté;-;23,4;11,3;51,9
15054;Noix de cajou, grillée, non salée;618;17,4;21,3;48,1
15055;Noix de cajou, grillée à sec, non salée;630;17,4;23,5;49
15201;Pâte d'amande, préemballée;432;5,8;70,3;13,5
15202;Beurre de cacahuète ou Pâte d'arachide;-;22,2;16,1;52,5
15203;Tahin ou Purée de sésame;-;17,7;13,8;53,4
20581;Arachide, bouillie/cuite à l'eau, salée;-;15,5;9,54;22
20901;Soja, graine entière;432;34,5;20,8;19,2
9081;Blé dur précuit, grains entiers, cuit, non salé;149;5,54;27,4;0,9
9085;Nouilles asiatiques cuites, aromatisées;147;4,78;18,8;4,3
9086;Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées;165;3,5;21,4;6,9
9103;Riz complet, cuit, non salé;158;3,21;32,6;1
9104;Riz blanc, cuit, non salé;145;2,92;31,8;0,41
9105;Riz blanc étuvé, cuit, non salé;146;2,95;31,7;0,56
9110;Riz rouge, cuit, non salé;141;3,45;28,2;0,69
9111;Riz sauvage, cuit, non salé;102;3,8;19,7;0,34
9124;Riz thaï, cuit, non salé;143;2,92;30,5;0,7
9125;Riz basmati, cuit, non salé;117;2,74;24,4;0,6
9313;Flocons d'avoine, bouillis/cuits à l'eau;75,5;2,54;11,9;1,52
9322;Orge perlée, bouilli/cuite à l'eau, non salée;119;2,26;24,4;0,44
9331;Mil, cuit, non salé;116;3,51;22,4;1
9341;Quinoa, bouilli/cuit à l'eau, non salé;149;4,66;27,9;1,1
9615;Polenta ou semoule de maïs, cuite, non salée;77,5;1,38;16,9;< 0,3
9683;Graine de couscous (semoule de blé dur précuite), cuite, non salée;157;4,56;31;1
9691;Boulgour de blé, cuit, non salé;111;3,73;21,7;0,5
9811;Pâtes sèches standard, cuites, non salées;126;3,99;25;0,55
9816;Pâtes fraîches, aux oeufs, cuites, non salées;168;5,76;32;1,3
9822;Pâtes sèches, aux oeufs, cuites, non salées;134;4,57;23;2
9824;Pâtes sèches, sans gluten, cuites, non salées;163;3,09;34,4;1,1
9871;Pâtes sèches, au blé complet, cuites, non salées;128;4,55;23,4;0,9
9875;Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées;170;3,15;36,6;0,8
9876;Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées;168;11,7;25,1;0,8
9901;Vermicelle de riz, cuite, non salée;89,3;1,43;20,1;< 0,5
9903;Vermicelle de soja, cuite, non salée;61,2;< 0,57;14,4;0,1
25479;Gnocchi à la semoule, cuit;185;5,6;34,4;2,4
25510;Gnocchi à la pomme de terre, cuit;177;5,01;33,6;2,05
25579;Gnocchi, cuit (aliment moyen);181;6,34;34;7,88
51511;Frik (blé dur immature concassé), cuit, non salé;76;2,04;14;0,48
9001;Épeautre, cru;344;14,6;59,5;2,43
9003;Blé de Khorasan, cru;342;14,5;59,5;2,13
9010;Blé tendre entier ou froment, cru;-;-;-;-
9011;Blé germé, cru;211;7,49;41,4;1,27
9060;Blé dur entier, cru;343;12,1;62,4;2,24
9080;Blé dur précuit, entier, cru;359;13,7;67,7;1,83
9100;Riz blanc, cru;352;7,04;78;0,91
9101;Riz blanc étuvé, cru;356;7,11;78,6;0,98
9102;Riz complet, cru;350;7,02;71,4;2,8
9108;Riz sauvage, cru;344;11,1;69,2;0,94
9109;Riz rouge, cru;352;7,97;70,6;3
9119;Riz thaï ou basmati, cru;353;7,67;77,8;0,84
9120;Riz thaï ou basmati, cuit, non salé;-;2,86;28,3;-
9121;Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;355;7,14;78,1;1
9200;Maïs entier, cru;346;8,1;67,2;3,7
9310;Avoine, crue;378;16,9;55,7;6,9
9320;Orge entière, crue;334;12,5;56,2;2,3
9321;Orge perlée, crue;346;9,91;68,6;1,16
9330;Mil entier, cru;359;11;64,3;4,21
9340;Quinoa, cru;358;13,2;58,1;6,07
9345;Amarante, crue;369;13,5;58,6;7,02
9360;Sorgho entier, cru;349;10,6;65,4;3,46
9380;Sarrasin entier, cru;356;12,9;64,6;3,55
9390;Seigle entier, cru;334;9,83;61;1,97
9610;Semoule de blé dur, crue;352;10,9;71,6;1,25
9611;Semoule de blé dur, cuite, non salée;122;3,42;24;0,8
9612;Mélange de céréales et légumineuses, cru;354;13,7;59;4
9614;Polenta ou semoule de maïs, précuite, sèche;350;7,88;74;1,8
9681;Graine de couscous (semoule de blé dur précuite), crue;365;12;72,7;1,45
9690;Boulgour de blé, cru;351;11,5;66,8;1,71
9810;Pâtes sèches standard, crues;336;11,5;65,8;1,79
9815;Pâtes fraîches, aux oeufs, crues;283;10,1;53,8;1,87
9821;Pâtes sèches, aux oeufs, crues;381;14;68;4,72
9863;Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature;371;11,9;71;3
9870;Pâtes sèches, au blé complet, crues;353;11,8;67,6;2,2
9874;Pâtes sèches, sans gluten, crues;356;6,17;79;1,24
9900;Vermicelle de riz, sèche;365;7,44;80,5;1
9902;Vermicelle de soja, sèche;344;< 0,57;84,7;0,14
26264;Gnocchi à la pomme de terre, cru;176;4,66;35;1,42
26265;Gnocchi à la semoule, cru;200;6,2;37;2,6
51510;Frik (blé dur immature concassé), cru;323;9,62;55,8;2,25
7000;Pain (aliment moyen);276;8,21;54,4;1,61
7001;Pain, baguette, courante;287;8,27;58,3;1,4
7002;Pain, baguette ou boule, au levain;261;7,41;53,1;1,3
7007;Pain, baguette, de tradition française;279;8,15;56,6;1
7010;Pain, baguette ou boule, bis (à la farine T80 ou T110) ;265;8,6;54;0,33
7012;Pain courant, 400g ou boule;266;7,9;52;2
7025;Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110);257;8,68;49,9;1,19
7100;Pain, baguette ou boule, de campagne;253;7,52;50;1,3
7110;Pain complet ou intégral (à la farine T150);244;8,38;44,3;1,8
7111;Pain de mie, complet;262;8,51;43,7;4,06
7112;Pain de mie, au son;278;6,84;46;5,5
7113;Pain de mie, multicéréale;274;8,81;43,6;5,41
7115;Pain au son;249;8,03;44,4;2,6
7125;Pain de seigle, et froment;260;8,27;51,5;1
7130;Pain, sans gluten;261;2,62;51,8;3,3
7160;Pain, baguette, sans sel;279;8,3;56,5;1,3
7170;Pain panini;272;7,66;55,9;1,1
7180;Pain pita;259;7,53;53;0,92
7200;Pain de mie, courant;278;7,13;52,3;3,6
7201;Pain de mie, sans croûte, préemballé;271;7,52;49,5;3,8
7210;Pain de mie brioché, préemballé;309;7,87;52,4;6,5
7255;Pain, baguette ou boule, aux céréales et graines, artisanal;269;9,58;46,9;3,2
7256;Muffin anglais, complet, petit pain spécial, préemballé;217;12,5;32,9;1,87
7257;Muffin anglais, petit pain spécial, préemballé;228;10,6;39,6;1,88
7258;Bagel;272;9,26;47,3;3,98
7259;Pain pour hamburger ou hot dog (bun), préemballé;293;9,07;49,7;5,35
7260;Pain blanc maison (avec farine pour machine à pain);256;7,81;52,1;0,9
7261;Pain de campagne maison (avec farine pour machine à pain);240;7,98;46,7;0,9
7262;Pain pour hamburger ou hot dog (bun), complet, préemballé;285;8,89;46,3;5,75
7263;Bretzel, pain frais;330;9,18;54,6;7,1
7813;Tortilla souple (à garnir), à base de maïs;313;9,06;54,7;5,8
7815;Tortilla souple (à garnir), à base de blé;327;8,34;52,1;8,2
23805;Blini;-;5,98;33,7;11,2
7004;Pain grillé, domestique;317;9,46;64;1,3
7300;Biscotte classique;409;9,8;76,6;5,9
7301;Biscotte briochée;417;10,9;69;9,28
7310;Biscotte sans adjonction de sel;405;10,4;74;5,88
7330;Biscotte multicéréale;398;11,8;66,7;7,22
7340;Biscotte complète ou riche en fibres;393;11,7;67;6,17
7351;Crackers de table au froment;450;7,75;75;12
7352;Galette de riz soufflé complet;385;7,32;80,5;3
7353;Galette multicéréales soufflée;394;8,43;82,4;2,5
7354;Galette de maïs soufflé;-;7,08;-;1,7
7400;Pain grillé, tranches, au froment;404;9,76;74,4;6,16
7403;Pain grillé brioché, tranché, préemballé;419;10,6;70,8;9,19
7407;Pain grillé suédois au froment;402;8,89;68,5;8,25
7409;Pain grillé suédois aux graines de lin;396;10,3;63;9
7410;Tartine craquante, extrudée et grillée;379;9,97;73,7;3,57
7420;Pain grillé suédois au blé complet;398;10,5;66,4;8
7421;Pain grillé suédois aux fruits;401;7,98;70,8;8
7425;Pain grillé, tranches, multicéréale;419;11,1;68,8;9,3
7431;Croûton à tartiner;374;12,3;70;2,85
7432;Croûtons nature, préemballés;495;8,38;59,1;24,1
7500;Chapelure;374;11,6;70;3,77
7525;Gressin;433;12,7;65,3;11,8
38500;Croûton à l'ail aux fines herbes ou aux oignons, préemballé;492;8,81;58,9;24,1
9230;Pop-corn ou Maïs éclaté, à l'huile, salé;485;11;52,6;23,8
9231;Pop-corn ou Maïs éclaté, à l'air, non salé;417;10,2;60;12,3
9232;Pop-corn ou Maïs éclaté, au caramel;418;3;85,4;6,5
38104;Chips de crevette;508;3,1;63,7;26,6
38105;Chips de maïs ou tortilla chips;495;6,56;59,5;24,7
38106;Biscuit apéritif soufflé, à base de pomme de terre;484;4,25;60,5;24,1
38107;Biscuit apéritif, mini bretzel ou sticks;379;11,2;74,4;3,13
38108;Biscuit apéritif soufflé, à base de pomme de terre et de soja;409;17,4;58,3;9,33
38399;Biscuit apéritif (aliment moyen);486;9,2;60,3;22,3
38400;Biscuit apéritif soufflé, à base de maïs, sans cacahuète;489;6,96;62,1;23
38401;Biscuit apéritif, crackers, garni ou fourré, au fromage;537;13,8;46,3;32,2
38402;Biscuit apéritif, crackers, nature;499;10,5;59;23,9
38403;Biscuit apéritif, crackers, nature, allégé en matière grasse;410;6,53;73,1;9,33
38404;Biscuit apéritif soufflé, à base de maïs, à la cacahuète;487;13,3;54,8;22,9
38405;Biscuit apéritif à base de pomme de terre, type tuile salée;521;4,63;59,1;28,8
38406;Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif;518;15,8;45,4;29,7
38407;Biscuit apéritif feuilleté;509;12,3;53,7;26,5
38408;Crêpe dentelle (pour apéritif) au fromage, préemballée;555;9,3;48,8;35,6
4090;Fécule de pomme de terre;348;0;86,3;0,2
9311;Flocon d'avoine;367;13,3;57,9;6,51
9410;Farine de blé tendre ou froment T110;343;9,61;68,6;1,5
9415;Farine de blé tendre ou froment T150;342;11,4;64,9;1,52
9435;Farine de blé tendre ou froment T65;346;13,6;67,6;1
9436;Farine de blé tendre ou froment T55 (pour pains);350;9,03;73,7;1
9437;Farine de blé tendre ou froment avec levure incorporée;350;9,12;74;1
9440;Farine de blé tendre ou froment T45 (pour pâtisserie);356;9,06;75,9;0,82
