alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Bette ou blette, cete et feuille, bouillie/cuite e l'eau;16,9;0,88;1,43;0,3
Brocoli, bouilli/cuit e l'eau, croquant;23,5;2,5;1,23;0,4
Brocoli, bouilli/cuit e l'eau, fondant;23,1;2,19;1,03;0,5
Brocoli, cuit e la vapeur;37,6;4,13;2,53;0,7
Carotte, bouillie/cuite e l'eau, croquante;35,7;0,75;6,33;< 0,3
Carotte, bouillie/cuite e l'eau, fondante;31,6;< 0,5;5,73;< 0,3
Carotte, cuite e la vapeur;41,6;0,63;7,33;0,3
Chou blanc, bouilli/cuit e l'eau;23,5;1;3,23;< 0,3
Chou de Bruxelles, bouilli/cuit e l'eau;45,4;3,19;5,4;< 0,3
Chou rouge, cuit e l'etouffee;34,9;1,19;5,7;< 0,3
Chou vert, bouilli/cuit e l'eau;21,6;1,63;1,83;< 0,3
Chou-fleur, cuit e la vapeur;30,1;2,56;3,41;0,3
Courgette, pulpe et peau, retie/cuite au four;23;1,5;3,13;< 0,3
Celeri branche, cuit e l'etouffee;16,7;0,75;2,48;< 0,3
Celeri rave, bouilli/cuit e l'eau;26,2;0,94;4,32;0,3
Endive, retie/cuite au four;23,5;1,13;4,38;< 0,3
Fenouil, cuit e l'etouffee;13,7;< 0,5;1,94;< 0,3
Haricot beurre, bouilli/cuit e l'eau;34,6;2,19;4,45;0,3
Haricot vert, bouilli/cuit e l'eau;28;1,75;3,39;< 0,3
Navet, bouilli/cuit e l'eau;21,1;0,75;3,23;< 0,3
Oignon blanc ou jaune, saute/poele sans matiere grasse;40,2;1,56;6,73;< 0,3
Oignon nouveau ou oignon frais ou cebette, saute/poele sans matiere grasse;27,6;1,13;3,56;0,3
Oignon rouge, saute/poele sans matiere grasse;42,4;1,69;7,55;< 0,3
Panais, cuit e l'etouffee;90,8;1,94;16,6;0,5
Petits pois, bouillis/cuits e l'eau;80,3;6,38;9,93;0,6
Poireau, bouilli/cuit e l'eau;27,4;2,56;2,23;< 0,3
Poivron jaune, saute/poele sans matiere grasse;35,8;1;5,33;0,6
Poivron rouge, saute/poele sans matiere grasse;35,7;0,94;6,53;< 0,3
Poivron vert, saute/poele sans matiere grasse;28,6;1,25;3,53;0,3
Potimarron, pulpe, bouilli/cuit e l'eau;38,2;1,06;6,88;0,3
Potiron, reti/cuit au four;30,2;< 0,5;5,66;< 0,3
Salsifis, bouilli/cuit e l'eau;57,9;2,63;9,29;< 0,3
Tomate, retie/cuite au four;25,3;1;3,53;0,4
echalote, sautee/poelee sans matiere grasse;66,9;2;12,3;0,4
epinard, bouilli/cuit e l'eau;28,1;3,38;< 0,85;0,7
Legume cuit (aliment moyen);43,5;2,11;5,81;0,3
Crosne, cuit;50,8;2,13;9,11;< 0,5
Champignon, lentin comestible ou shiitake, seche;316;9,58;63,9;0,99
Tomate, sechee, e l'huile;187;4,27;13,4;11,7
Bredes chou de Chine ou bok choy ou pak choe, tiges et feuilles, cuites e la vapeur, prelevees e La Reunion (Brassica rapa subsp, Chinensis);17,7;1,69;1,7;< 0,3
Chayote ou christophine ou chouchou, pulpe avec pepins, cuite e la vapeur, prelevee e La Reunion (Sechium edule);22,2;0,63;3,5;< 0,3
Tapioca ou Perles du Japon, cru;354;0,19;87,8;0,02
Pomme de terre, sans peau, retie/cuite au four;91,9;1,96;20,1;0,1
Pomme de terre, bouillie/cuite e l'eau;80,5;1,8;16,7;0,34
Chips de pommes de terre nature ou aromatisees, standard;545;5,67;51,1;34,3
Pomme de terre, sans peau, crue;80,5;2,16;16,2;0,18
Pomme de terre, appertisee, egouttee;59,9;1,47;11,7;0,34
Pomme de terre noisette, surgelee, crue;181;2,76;24,9;7,22
Pomme de terre vapeur, sous vide;73,6;1,7;15,4;0,2
Pomme de terre poelee, avec matiere grasse;137;2,5;17,3;5,7
Pomme de terre, flocons deshydrates, au lait ou e la creme;371;10,6;69,4;3,97
Pomme de terre, puree e base de flocons, reconstituee avec lait entier, matiere grasse;97,9;1,92;10,2;5,18
Pomme de terre, puree, avec lait et beurre, non salee;88,8;1,89;14,2;2,4
Pomme de terre, puree e base de flocons, reconstituee avec lait demi-ecreme et eau, non salee;67,3;2,63;12,1;0,53
Pomme de terre dauphine, surgelee, crue;285;4,62;25,6;17,7
Pomme de terre dauphine, surgelee, cuite;302;4,5;30,2;17,7
Pomme de terre, flocons deshydrates, nature;361;8,04;76,1;0,46
Pomme de terre nouvelle, crue;76,4;1,88;15,9;0,3
Potatoes ou Wedges ou Quartiers de pommes de terre epices, surgelees, cuites;174;3,25;25,3;5,8
Pomme de terre, retie/cuite au four;89,4;2,5;18,5;0,13
Pomme de terre sautee/rissolee, pre-frite, surgelee, cuite;156;2,81;23;4,8
Pomme de terre de conservation, sans peau, bouillie/cuite e l'eau;76,1;1,81;15,7;< 0,5
Pomme de terre primeur, sans peau, bouillie/cuite e l'eau;71,6;1,84;14,9;< 0,1
Frites de pommes de terre, surgelees, reties/cuites au four;213;3,75;32,6;6,6
Frites de pommes de terre, surgelees, cuites en friteuse;285;3,28;39,4;11,9
Pomme de terre duchesse, surgelee, cuite;218;3,44;29,5;8,5
Pomme de terre noisette, surgelee, cuite;191;2,81;28,5;6,6
Pomme de terre sautee/poelee e la graisse de canard;213;2,54;21,9;12,1
Chips de pommes de terre nature ou aromatisees, e l'ancienne;570;5,62;49,8;37,6
Chips de pommes de terre et assimiles nature ou aromatisees, allegees en matiere grasse;463;6,58;62,1;19,8
Rostis ou Galette de pomme de terre;182;2,38;22,5;8,3
Pomme de terre duchesse, surgelee, crue;178;2,8;23,2;7,72
Pomme de terre sautee/ rissolee, pre-frites, surgelee, crue;135;2,32;20,9;4,2
Frites de pommes de terre, surgelees, prefrites, pour cuisson retie/ au four;154;2,41;23,4;5,09
Frites de pommes de terre, surgelees, prefrites, pour cuisson micro-ondes;254;3,5;34;10,8
Frites de pommes de terre, surgelees, prefrites, pour cuisson en friteuse;244;3,12;29,1;12,1
Pomme de terre, puree (aliment moyen);91,8;2,11;12,7;3,25
Pomme de terre, cuite (aliment moyen);93,2;2,01;17,2;1,37
Patate douce, crue;86,3;1,51;18,3;0,15
Patate douce, cuite;62,8;1,69;12,2;0,15
Patate douce, puree, cuisinee e la creme;79,8;1,1;12,1;2
Topinambour, cuit;81,9;1,8;16;0,7
Topinambour, cru;60,7;1,94;11,5;0,31
Banane plantain, cuite;125;0,79;28,9;0,18
Taro, tubercule, cru;107;1,5;22,8;0,2
Taro, tubercule, cuit;131;0,52;29,5;0,11
Igname, epluchee, crue;111;1,53;23,8;0,17
Igname, epluchee, bouillie/cuite e l'eau;109;1,49;23,6;0,14
Manioc, racine crue;157;1,31;36,3;0,29
Manioc, racine cuite;132;0,69;32;0,043
Fruit e pain, cru;105;1,07;22,2;0,23
Haricot coco, bouilli/cuit e l'eau;131;9,63;13,7;0,5
Feve, bouillie/cuite e l'eau;82,9;8,06;9,35;0,8
Haricot blanc, bouilli/cuit e l'eau;112;6,75;12;1,1
Haricot rouge, bouilli/cuit e l'eau;116;9,63;12,3;0,6
Pois chiche, bouilli/cuit e l'eau;147;8,31;17,7;3
Haricot flageolet, bouilli/cuit e l'eau;112;6,75;12;1,1
Lentille verte, bouillie/cuite e l'eau;127;10,1;16,2;0,58
Abricot, denoyaute, cru;45,9;0,81;9,01;< 0,5
Ananas, pulpe, cru;54,4;< 0,5;11,7;< 0,5
Banane, pulpe, crue;90,5;1,06;19,7;< 0,5
Cerise, denoyautee, crue;55,7;0,81;13;< 0,3
Citron, pulpe, cru;27,6;< 0,5;1,56;< 0,5
Figue, crue;69,4;1,19;13,5;< 0,5
Fraise, crue;38,6;0,63;6,03;< 0,5
Framboise, crue;49,2;1,19;5,83;0,8
Fruit de la passion ou maracudja, pulpe et pepins, cru;101;2,13;10,9;3
Grenade, pulpe et pepins, crue;80,6;1,44;14,3;1,2
Groseille, crue;68,5;1,56;7,06;0,7
Kiwi, pulpe et graines, cru;60,5;0,88;11;0,6
Litchi, pulpe, cru;81;1,13;16,1;< 0,5
Clementine ou Mandarine, pulpe, crue;47,3;0,81;9,17;< 0,5
Mangue, pulpe, crue;73,9;0,63;14,3;< 0,5
Melon cantaloup (par ex,: Charentais, de Cavaillon) pulpe, cru;62,7;1,13;14,8;< 0,5
Mirabelle, crue;76,9;0,63;18;< 0,5
Myrtille, crue;57,7;0,87;10,6;0,33
Mere (de ronce), crue;47,3;1,13;6,53;0,7
Orange, pulpe, crue;45,5;0,75;8,03;< 0,5
Papaye, pulpe, crue;42,2;0,75;8,53;< 0,3
Pasteque, pulpe, crue;38,9;0,69;8,33;< 0,5
Pomelo (dit Pamplemousse), pulpe, cru;39,8;< 0,5;8,02;< 0,5
Prune Reine-Claude, crue;71,3;0,94;16,4;< 0,5
Raisin blanc, e gros grain (type Italia ou Dattier), cru;73,4;0,75;16,6;< 0,5
Kaki, pulpe, cru;68,6;0,88;14,3;< 0,3
Citron vert ou Lime, pulpe, cru;40,2;1,13;3,14;< 0,3
Pomme Golden, pulpe, crue;54,9;< 0,5;11,7;< 0,5
Raisin Chasselas, cru;79,1;0,75;16,9;0,5
Pomme Granny Smith, pulpe, crue;53,9;< 0,5;11,4;< 0,5
Pomme Granny Smith, pulpe et peau, crue;51,5;< 0,5;10,7;< 0,5
Nectarine ou brugnon, jaune, pulpe et peau, crue;51,3;0,69;11,3;< 0,5
Nectarine ou brugnon, blanche, pulpe et peau, crue;51,8;0,81;11,4;< 0,5
Poire Conference, pulpe, crue;53,1;< 0,5;11,4;< 0,5
Poire Williams, pulpe, crue;54,1;< 0,5;11,5;< 0,5
Pomme Chantecler, pulpe, crue;51,8;< 0,5;11,2;< 0,5
Pomme Gala, pulpe, crue;54,5;< 0,5;11,9;< 0,5
Pomme Pink lady, pulpe, crue;60,1;< 0,5;12,8;< 0,5
Peche blanche, pulpe et peau, crue;47,2;0,69;9,48;< 0,5
Peche blanche, pulpe, crue;46,1;0,63;9,63;< 0,5
Peche jaune, pulpe, crue;46,3;0,69;9,8;< 0,5
Pomme Golden, pulpe et peau, crue;57,1;< 0,5;12,8;< 0,5
Raisin noir Muscat, cru;90,1;0,69;20;< 0,5
Fruit cru (aliment moyen);59,5;0,7;11,6;0,26
Compote de pomme;102;0,23;24,4;0,21
Compote, tout type de fruits;102;< 0,5;23,9;0,092
Compote, tout type de fruits, allegee en sucres;66;< 0,5;15,3;0,08
Compote de pomme, allegee en sucres;65,1;< 0,5;15,1;0,08
"Puree de fruits, tout type de fruits, type ""compote sans sucres ajoutes""";58,9;< 0,5;13,4;< 0,3
Compote ou assimile, tout type de fruits, teneur en sucre (allegee en sucres ou non, sans sucres ajoutes,,,) inconnue (aliment moyen);80,1;0,25;18,6;0,15
"Puree de pommes, type ""compote sans sucres ajoutes""";56,4;1,13;11,7;< 0,3
Poire au sirop leger, appertisee, egouttee;64,9;< 0,5;13,9;0,4
Abricot, denoyaute, sec;239;2,88;59,1;0,5
Pruneau, sec;229;1,63;55,4;0,4
Raisin, sec;321;3;73,2;0,9
Melange aperitif de fruits exotiques, sec;389;2,19;69,5;10,5
Canneberge ou cranberry, sechee, sucree;333;< 0,5;76,4;1
Abricot, denoyaute, sec, moelleux (rehydrate e 35-45%);200;2,31;51,1;0,4
Mangue Jose, pulpe, crue, prelevee e La Reunion (Mangifera indica L,);88,8;0,75;19,3;0,5
Ananas Victoria ou ananas Queen Victoria, pulpe crue, preleve e La Reunion Ananas comosus (L,) merr var, Queen);71,8;0,94;15,1;< 0,3
Papaye Colombo (fruit mer), pulpe sans pepin, crue, prelevee e La Reunion (Carica papaya L,);40;0,56;7,88;< 0,3
Melange aperitif de graines salees et raisins secs;560;16,6;27,1;39,6
Melange aperitif de graines (non salees) et raisins secs;541;12,5;31,8;37,2
Noix de cajou, grillee, non salee;618;17,4;21,3;48,1
Noix de cajou, grillee e sec, non salee;630;17,4;23,5;49
Pete d'amande, preemballee;432;5,8;70,3;13,5
Soja, graine entiere;432;34,5;20,8;19,2
Ble dur precuit, grains entiers, cuit, non sale;149;5,54;27,4;0,9
Nouilles asiatiques cuites, aromatisees;147;4,78;18,8;4,3
Petes ou nouilles asiatiques au ble, cuites, nature, non salees;165;3,5;21,4;6,9
Riz complet, cuit, non sale;158;3,21;32,6;1
Riz blanc, cuit, non sale;145;2,92;31,8;0,41
Riz blanc etuve, cuit, non sale;146;2,95;31,7;0,56
Riz rouge, cuit, non sale;141;3,45;28,2;0,69
Riz sauvage, cuit, non sale;102;3,8;19,7;0,34
Riz thae, cuit, non sale;143;2,92;30,5;0,7
Riz basmati, cuit, non sale;117;2,74;24,4;0,6
Flocons d'avoine, bouillis/cuits e l'eau;75,5;2,54;11,9;1,52
Orge perlee, bouilli/cuite e l'eau, non salee;119;2,26;24,4;0,44
Mil, cuit, non sale;116;3,51;22,4;1
Quinoa, bouilli/cuit e l'eau, non sale;149;4,66;27,9;1,1
Polenta ou semoule de maes, cuite, non salee;77,5;1,38;16,9;< 0,3
Graine de couscous (semoule de ble dur precuite), cuite, non salee;157;4,56;31;1
Boulgour de ble, cuit, non sale;111;3,73;21,7;0,5
Petes seches standard, cuites, non salees;126;3,99;25;0,55
Petes fraeches, aux oeufs, cuites, non salees;168;5,76;32;1,3
Petes seches, aux oeufs, cuites, non salees;134;4,57;23;2
Petes seches, sans gluten, cuites, non salees;163;3,09;34,4;1,1
Petes seches, au ble complet, cuites, non salees;128;4,55;23,4;0,9
Petes, sans gluten, e base de riz et maes, cuites e l'eau, non salees;170;3,15;36,6;0,8
Petes, sans gluten, e base de lentilles corail, cuites e l'eau, non salees;168;11,7;25,1;0,8
Vermicelle de riz, cuite, non salee;89,3;1,43;20,1;< 0,5
Vermicelle de soja, cuite, non salee;61,2;< 0,57;14,4;0,1
Gnocchi e la semoule, cuit;185;5,6;34,4;2,4
Gnocchi e la pomme de terre, cuit;177;5,01;33,6;2,05
Gnocchi, cuit (aliment moyen);181;6,34;34;7,88
Frik (ble dur immature concasse), cuit, non sale;76;2,04;14;0,48
epeautre, cru;344;14,6;59,5;2,43
Ble de Khorasan, cru;342;14,5;59,5;2,13
Ble germe, cru;211;7,49;41,4;1,27
Ble dur entier, cru;343;12,1;62,4;2,24
Ble dur precuit, entier, cru;359;13,7;67,7;1,83
Riz blanc, cru;352;7,04;78;0,91
Riz blanc etuve, cru;356;7,11;78,6;0,98
Riz complet, cru;350;7,02;71,4;2,8
Riz sauvage, cru;344;11,1;69,2;0,94
Riz rouge, cru;352;7,97;70,6;3
Riz thae ou basmati, cru;353;7,67;77,8;0,84
Riz, melange de varietes (blanc, complet, rouge, sauvage, etc,), cru;355;7,14;78,1;1
Maes entier, cru;346;8,1;67,2;3,7
Avoine, crue;378;16,9;55,7;6,9
Orge entiere, crue;334;12,5;56,2;2,3
Orge perlee, crue;346;9,91;68,6;1,16
Mil entier, cru;359;11;64,3;4,21
Quinoa, cru;358;13,2;58,1;6,07
Amarante, crue;369;13,5;58,6;7,02
Sorgho entier, cru;349;10,6;65,4;3,46
Sarrasin entier, cru;356;12,9;64,6;3,55
Seigle entier, cru;334;9,83;61;1,97
Semoule de ble dur, crue;352;10,9;71,6;1,25
Semoule de ble dur, cuite, non salee;122;3,42;24;0,8
Melange de cereales et legumineuses, cru;354;13,7;59;4
Polenta ou semoule de maes, precuite, seche;350;7,88;74;1,8
Graine de couscous (semoule de ble dur precuite), crue;365;12;72,7;1,45
Boulgour de ble, cru;351;11,5;66,8;1,71
Petes seches standard, crues;336;11,5;65,8;1,79
Petes fraeches, aux oeufs, crues;283;10,1;53,8;1,87
Petes seches, aux oeufs, crues;381;14;68;4,72
Petes ou nouilles asiatiques au ble et aux oeufs, crues, nature;371;11,9;71;3
Petes seches, au ble complet, crues;353;11,8;67,6;2,2
Petes seches, sans gluten, crues;356;6,17;79;1,24
Vermicelle de riz, seche;365;7,44;80,5;1
Vermicelle de soja, seche;344;< 0,57;84,7;0,14
Gnocchi e la pomme de terre, cru;176;4,66;35;1,42
Gnocchi e la semoule, cru;200;6,2;37;2,6
Frik (ble dur immature concasse), cru;323;9,62;55,8;2,25
Pain (aliment moyen);276;8,21;54,4;1,61
Pain, baguette, courante;287;8,27;58,3;1,4
Pain, baguette ou boule, au levain;261;7,41;53,1;1,3
Pain, baguette, de tradition franeaise;279;8,15;56,6;1
Pain, baguette ou boule, bis (e la farine T80eou T110)e;265;8,6;54;0,33
Pain courant, 400g ou boule;266;7,9;52;2
Pain, baguette ou boule, bio (e la farine T55 jusqu'e T110);257;8,68;49,9;1,19
Pain, baguette ou boule, de campagne;253;7,52;50;1,3
Pain complet ou integral (e la farine T150);244;8,38;44,3;1,8
Pain de mie, complet;262;8,51;43,7;4,06
Pain de mie, au son;278;6,84;46;5,5
Pain de mie, multicereale;274;8,81;43,6;5,41
Pain au son;249;8,03;44,4;2,6
Pain de seigle, et froment;260;8,27;51,5;1
Pain, sans gluten;261;2,62;51,8;3,3
Pain, baguette, sans sel;279;8,3;56,5;1,3
Pain panini;272;7,66;55,9;1,1
Pain pita;259;7,53;53;0,92
Pain de mie, courant;278;7,13;52,3;3,6
Pain de mie, sans croete, preemballe;271;7,52;49,5;3,8
Pain de mie brioche, preemballe;309;7,87;52,4;6,5
Pain, baguette ou boule, aux cereales et graines, artisanal;269;9,58;46,9;3,2
Muffin anglais, complet, petit pain special, preemballe;217;12,5;32,9;1,87
Muffin anglais, petit pain special, preemballe;228;10,6;39,6;1,88
Bagel;272;9,26;47,3;3,98
Pain pour hamburger ou hot dog (bun), preemballe;293;9,07;49,7;5,35
Pain blanc maison (avec farine pour machine e pain);256;7,81;52,1;0,9
Pain de campagne maison (avec farine pour machine e pain);240;7,98;46,7;0,9
Pain pour hamburger ou hot dog (bun), complet, preemballe;285;8,89;46,3;5,75
Bretzel, pain frais;330;9,18;54,6;7,1
Tortilla souple (e garnir), e base de maes;313;9,06;54,7;5,8
Tortilla souple (e garnir), e base de ble;327;8,34;52,1;8,2
Pain grille, domestique;317;9,46;64;1,3
Biscotte classique;409;9,8;76,6;5,9
Biscotte briochee;417;10,9;69;9,28
Biscotte sans adjonction de sel;405;10,4;74;5,88
Biscotte multicereale;398;11,8;66,7;7,22
Biscotte complete ou riche en fibres;393;11,7;67;6,17
Crackers de table au froment;450;7,75;75;12
Galette de riz souffle complet;385;7,32;80,5;3
Galette multicereales soufflee;394;8,43;82,4;2,5
Pain grille, tranches, au froment;404;9,76;74,4;6,16
Pain grille brioche, tranche, preemballe;419;10,6;70,8;9,19
Pain grille suedois au froment;402;8,89;68,5;8,25
Pain grille suedois aux graines de lin;396;10,3;63;9
Tartine craquante, extrudee et grillee;379;9,97;73,7;3,57
Pain grille suedois au ble complet;398;10,5;66,4;8
Pain grille suedois aux fruits;401;7,98;70,8;8
Pain grille, tranches, multicereale;419;11,1;68,8;9,3
Croeton e tartiner;374;12,3;70;2,85
Croetons nature, preemballes;495;8,38;59,1;24,1
Chapelure;374;11,6;70;3,77
Gressin;433;12,7;65,3;11,8
Croeton e l'ail aux fines herbes ou aux oignons, preemballe;492;8,81;58,9;24,1
Pop-corn ou Maes eclate, e l'huile, sale;485;11;52,6;23,8
Pop-corn ou Maes eclate, e l'air, non sale;417;10,2;60;12,3
Pop-corn ou Maes eclate, au caramel;418;3;85,4;6,5
Chips de crevette;508;3,1;63,7;26,6
Chips de maes ou tortilla chips;495;6,56;59,5;24,7
Biscuit aperitif souffle, e base de pomme de terre;484;4,25;60,5;24,1
Biscuit aperitif, mini bretzel ou sticks;379;11,2;74,4;3,13
Biscuit aperitif souffle, e base de pomme de terre et de soja;409;17,4;58,3;9,33
Biscuit aperitif (aliment moyen);486;9,2;60,3;22,3
Biscuit aperitif souffle, e base de maes, sans cacahuete;489;6,96;62,1;23
Biscuit aperitif, crackers, garni ou fourre, au fromage;537;13,8;46,3;32,2
Biscuit aperitif, crackers, nature;499;10,5;59;23,9
Biscuit aperitif, crackers, nature, allege en matiere grasse;410;6,53;73,1;9,33
Biscuit aperitif souffle, e base de maes, e la cacahuete;487;13,3;54,8;22,9
Biscuit aperitif e base de pomme de terre, type tuile salee;521;4,63;59,1;28,8
Cacahuetes (arachide) enrobees d'un biscuit, pour aperitif;518;15,8;45,4;29,7
Biscuit aperitif feuillete;509;12,3;53,7;26,5
Crepe dentelle (pour aperitif) au fromage, preemballee;555;9,3;48,8;35,6
Fecule de pomme de terre;348;0;86,3;0,2
Flocon d'avoine;367;13,3;57,9;6,51
Farine de ble tendre ou froment T110;343;9,61;68,6;1,5
Farine de ble tendre ou froment T150;342;11,4;64,9;1,52
Farine de ble tendre ou froment T65;346;13,6;67,6;1
Farine de ble tendre ou froment T55 (pour pains);350;9,03;73,7;1
Farine de ble tendre ou froment avec levure incorporee;350;9,12;74;1
Farine de ble tendre ou froment T45 (pour patisserie);356;9,06;75,9;0,82
Farine de ble tendre ou froment T80;355;9,95;73,2;1,18
Farine d'epeautre (grand epeautre);352;11,4;64;3
Amidon de maes ou fecule de maes;362;0,43;89,2;0,25
Farine de riz;357;7,62;73,9;2,5
Farine de seigle T170;315;15,9;44,8;2,22
Farine de seigle T85;344;8,12;70,7;1,37
Farine de seigle T130;344;7,24;70,9;1,12
Farine de sarrasin;348;11,5;68,4;2,19
Farine de maes;361;6,23;78,1;2,1
Farine d'orge;339;9,91;64,5;2,3
Farine de millet;350;10,2;63,2;4,1
Farine de pois chiche;359;22,4;47;6,69
Farine de soja;460;35,8;22,9;21,4
Amidon de riz;343;0,6;85;0
Pete e pizza fine, crue;279;7,71;44,6;7,01
Pete brisee, crue;377;5,35;43,6;19,5
Pete brisee, matiere grasse vegetale, cuite;505;7,47;58,3;26,4
Pete brisee, pur beurre, crue;384;5,77;44,9;19,5
Pete brisee, pur beurre, surgelee, crue;387;5,65;43,3;20,7
Pete brisee, pur beurre, cuite;497;7,58;61,1;23,9
Pete feuilletee, matiere grasse vegetale, crue;377;5,41;41,4;20,4
Pete feuilletee, surgelee, crue;400;3,28;33,3;27,4
Pete feuilletee, cuite;531;7,19;54,1;31
Pete feuilletee pur beurre, crue;368;5,6;39,7;20,1
Pete feuilletee pur beurre, surgelee crue;398;4,99;35,3;25,8
Pete feuilletee pur beurre, cuite;509;4,61;57;28,7
Feuille de brick, cuite e sec sans matiere grasse;378;6,16;82,4;1,76
Pete sablee, crue;404;5,3;51;19,6
Pete sablee, cuite;505;5,7;64,4;24,6
Pete sablee pur beurre, crue;383;5,95;53,6;15,8
Pete phyllo ou Pete filo, crue;289;7,1;50,8;6
Pete sablee pur beurre, surgelee, crue;423;4,9;60,9;17,5
Pete sablee pur beurre, cuite;469;6,2;63;20,9
Pete e pizza crue;240;7,05;44,2;3,45
Khatfa feuille de brick, preemballee;283;7;59;1,5
Pete e pizza cuite;324;7,75;55,3;7,1
Viande blanche, cuite (aliment moyen);173;28,1;0,26;6,55
Viande rouge, cuite (aliment moyen);195;26;0,027;10,1
Viande cuite (aliment moyen);182;27,2;0,24;8,04
Volaille, cuite (aliment moyen);166;27,6;0,28;5,96
Boeuf, entrecete, partie maigre, grillee/poelee;198;25,5;< 0,1;10,7
Boeuf, braise;240;32,1;0;12,4
Boeuf, gete e la noix, cuit;102;21;0,2;1,9
Boeuf, faux-filet, reti/cuit au four;194;28,8;traces;8,71
Boeuf, faux-filet, grille/poele;182;27,1;0;8,17
Boeuf, plat de cetes, braise;269;37,3;0;13,3
Boeuf, hampe, grillee/poelee;174;21,6;traces;9,76
Boeuf, joue, braisee ou bouillie;236;39,2;traces;8,82
Boeuf, jarret, bouilli/cuit e l'eau;161;31;traces;4,1
Boeuf, tende de tranche, grillee/poelee;141;28,7;traces;2,92
Boeuf, tende de tranche, retie/cuite au four;146;29,8;traces;3,03
Boeuf, steak ou bifteck, grille;128;27,6;traces;1,95
Boeuf, onglet, grille;171;23;traces;8,8
Boeuf, rumsteck, grille;123;25;traces;2,5
Boeuf, boule de macreuse, grillee/poelee;144;26,7;traces;4,11
Boeuf, rosbif, reti/cuit au four;117;21,9;0,3;3,16
Boeuf, bavette d'aloyau, grillee/poelee;162;25;traces;6,94
Boeuf, boule de macreuse, retie/cuite au four;147;27,3;traces;4,2
Boeuf, e bourguignon ou pot-au-feu, cuit;172;34;traces;4,05
Boeuf, collier, braise;184;33;traces;5,8
Boeuf, steak hache 5% MG, cuit;155;25,5;0;5,85
Boeuf, steak hache 10% MG, cuit;210;26,1;0;11,8
Boeuf, steak hache 15% MG, cuit;239;23,6;0;16,1
Boeuf, steak hache 20% MG, cuit;265;23;0,14;19,2
Boeuf, steak hache, cuit (aliment moyen);231;23,8;0,0018;15,1
Boeuf, paleron, braise ou bouilli;251;36,8;0,2;11,4
Boeuf, queue, bouillie/cuite e l'eau;196;28;traces;9,3
Veau, cete, grillee/poelee;156;25,1;0;6,24
Veau, carre, saute/poele;171;28;traces;6,6
Veau, escalope, cuite;147;31;traces;2,5
Veau, noix, grillee/poelee;147;29,1;traces;3,44
Veau, noix, retie;147;29,1;traces;3,44
Veau, filet, reti/cuit au four;201;23,4;0,5;11,7
Veau, reti, cuit;143;28,1;0;3,39
Veau, epaule, grillee/poelee;166;27,6;traces;6,17
Veau, epaule, braisee ou bouillie;219;36,4;traces;8,14
Veau, viande, cuite (aliment moyen);169;29;0,74;5,55
Veau, jarret, braise ou bouilli;207;37,4;traces;6,43
Veau, tete, bouillie/cuite e l'eau;187;21;traces;11,4
Veau, collier, braise ou bouilli;233;34,9;traces;10,4
Porc, longe, cuite;240;27,1;0;14,7
Porc, palette, crue;208;24,8;traces;12,1
Porc, epaule, cuite;253;30;0;14,8
Porc, cete, grillee;211;29,6;0;10,3
Porc, rouelle de jambon, cuite;266;36,9;traces;13,1
Porc, carre, cuit;206;34,1;0,6;7,45
Porc, filet, maigre, en reti, cuit;198;28,3;0;9,39
Porc, filet mignon, cuit;168;26,1;traces;7,1
Porc, viande, cuite (aliment moyen);205;29,1;0,24;9,78
Porc, reti, cuit;163;30,5;0,65;4,31
Porc, travers, braise;333;23,1;0,13;26,6
Porc, echine, retie/cuite au four;295;26,2;< 0,1;21,2
Porc, escalope de jambon, cuite;200;36;traces;6,2
Poulet, cuisse, viande et peau, retie/cuite au four;213;25,9;2;11,3
Poulet, viande et peau, reti/cuit au four;213;28,9;2,1;9,88
Poulet, cuisse, viande, reti/cuit au four;171;24,8;0;8,03
Poulet, filet, sans peau, saute/poele;141;30,1;0;2
Poulet, cuisse, viande, bouilli/cuit e l'eau;188;24,8;0,7;9,52
Poulet, cuisse, viande et peau, bouilli/cuit e l'eau;188;26,1;< 0,55;9,1
Poulet, poitrine, viande et peau, reti/cuit au four;189;29,8;0;7,78
Poulet, aile, viande et peau, reti/cuit au four;247;23,8;0;16,9
Poulet, filet, sans peau, saute/poele, bio;144;31,1;0;1,8
Dinde, viande, retie/cuite au four;151;29,1;0;3,84
Dinde, escalope, sautee/poelee;124;28,5;0;1,09
Dinde, escalope, retie/cuite au four;128;24,6;0,5;3,04
Agneau, cetelette, grillee;240;25,7;traces;15,2
Agneau, gigot, reti/cuit au four;169;26,8;0;6,85
Agneau, epaule, retie/cuite au four;252;30,5;< 0,1;14,5
Agneau, epaule, maigre, retie/cuite au four;197;24,9;0;10,8
Agneau, collier, braise ou bouilli;365;33,6;traces;25,6
Agneau, cete filet, grillee/poelee;157;26,3;traces;5,78
Agneau, cete premiere, grillee/poelee;185;26,1;0;9,01
Agneau, selle, partie maigre, retie/cuite au four;153;26,1;0;5,45
Agneau, gigot, grille/poele;174;27,6;traces;7,08
Agneau, gigot, braise;222;35,2;traces;9,03
Agneau, selle, partie maigre, grillee/poelee;153;26,1;traces;5,45
Agneau, cete ou cetelette, cuite (aliment moyen);157;26,3;0;5,78
