alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Gâteau basque, crème pâtissière;365,420;4,03;57,4;13,3
Gâteau basque, cerises;391,900;4,3;63,3;13,5
Crêpe fourrée au sucre, préemballée;403,480;6,62;58,7;15,8
Crêpe fourrée à la confiture, maison;293,700;6,51;54;5,74
Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes, maison;381,000;8,1;54,3;14,6
Crêpe fourrée chocolat, préemballée;444,120;6,43;58,7;20,4
Crêpe fourrée fraise, préemballée;347,600;5,35;66,7;6,6
Gaufre bruxelloise ou liégeoise, préparation artisanale;297,000;8;36,1;13,4
Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée;465,200;7,1;52,5;25,2
Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée;463,100;6,1;55,9;23,9
Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée;447,420;5,18;66,4;17,9
Gaufre croustillante (fine ou sèche), chocolatée, préemballée;451,600;6,9;70;16
Gâteau marbré, prémballé;432,040;5,76;50,5;23
Gâteau sablé aux fruits, préemballé;422,820;5,13;63,9;16,3
Gâteau moelleux aux fruits, prémballé;398,040;4,61;61,6;14,8
Gâteau moelleux aux fruits à coque, prémballé;449,500;6,2;48,8;25,5
Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait, prémballé;459,340;5,31;60,7;21,7
Génoise fourrée et nappée au chocolat, prémballé;422,240;5,46;53,3;20,8
Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré, prémballé;332,940;4,41;64,2;6,5
Muffin, aux myrtilles ou au chocolat;428,560;5,59;48,9;23,4
Madeleine, pur beurre, préemballée;462,300;5,6;52,6;25,5
Madeleine au chocolat, préemballée;454,340;6,06;51,5;24,9
Madeleine ordinaire, préemballée;461,600;5,2;53,5;25,2
Tarte aux poires amandine;304,500;4,9;37,7;14,9
Gâteau aux amandes type financier;460,200;9,1;44,3;27,4
Gâteau aux amandes, préemballé;419,220;5,78;60,1;17,3
Mille-feuille;292,020;3,88;43,7;11,3
Glace ou crème glacée, cône (taille standard);286,740;3,51;37,8;13,5
Glace ou crème glacée, en bac;190,200;2,55;26,1;8,4
Glace au yaourt;124,400;3,45;22,7;2,2
Glace ou crème glacée, gourmande, en bac;224,500;3,05;29;10,7
Glace ou crème glacée, gourmande, en pot;274,740;4,21;24,2;17,9
Glace ou crème glacée, mini cône;352,600;4,2;38,5;20,2
Glace ou crème glacée, pot individuel;233,940;3,21;26,7;12,7
Glace ou crème glacée, petit pot enfant;161,740;1,87;25,2;5,94
Sorbet, bâtonnet;106,800;0,28;25,7;0,32
Sorbet, en bac;127,300;0,47;29,6;0,78
Sorbet, pot individuel;130,500;0,000;27;2,5
Glace à l'eau;85,268;0,067;20,8;0,2
Sorbet, cône;226,180;2,08;39,3;6,74
Huile de beurre ou Beurre concentré;900,220;0,28;0;99,9
Sauce tartare, préemballée;517,360;0,99;4,6;55
Mayonnaise (70% MG min.), préemballée;692,720;1,36;2,62;75,2
Ketchup allégé en sucres, préemballé;64,230;1,21;14,6;0,11
Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée, préemballée;308,740;0,93;8,98;29,9
Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile), préemballée;495,480;0,53;4,54;52,8
Sauce vinaigrette allégée en MG (25 à 50% d'huile), préemballée;247,160;0,000;2,39;26,4
Sauce vinaigrette (50 à 75% d'huile), préemballée;492,000;0,54;4,56;52,4
Harissa (sauce condimentaire), préemballée;66,180;2,72;7,3;2,9
Sauce bourguignonne, préemballée;431,500;1,25;7,85;43,9
Sauce moutarde, préemballée;225,040;1,66;3,3;22,8
Sauce au yaourt;96,910;3,64;5,04;6,91
Sauce américaine, préemballée;419,800;1,42;9,48;41,8
Sauce aïoli, préemballée;392,320;1,13;4,7;41
Sauce crudités ou Sauce salade, préemballée;302,740;0,86;5,3;30,9
Sauce burger, préemballée;361,640;1,06;13,3;33,8
Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée;160,780;0,76;7,26;14,3
Sauce kebab, préemballée;289,400;1,1;9,15;27,6
Sauce rouille, préemballée;381,000;1,1;1;41,4
Sauce au poivre, condimentaire, froide, préemballée;469,660;0,69;5,8;49,3
Sauce soja sucrée, préemballée;11,520;2,88;0,000;0,000
Sauce teriyaki, préemballée;88,820;3,82;16;1,06
Tzatziki, à base yaourt, préemballé;138,060;6,19;3,8;10,9
Tzatziki, à base fromage frais, préemballé;140,500;6,87;3,28;11,1
Guacamole, préemballé;180,620;2,18;5,85;16,5
Houmous, préemballé;276,300;8,2;7,1;23,9
Caviar d'aubergine, préemballé;209,040;0,71;4,3;21
Sauce béchamel, préemballée;101,640;2,56;6,2;7,4
Sauce béarnaise, préemballée;450,900;0,88;4,52;47,7
Sauce hollandaise, préemballée;201,280;1,19;4,58;19,8
Sauce tomate aux oignons, préemballée;74,460;1,52;7,69;4,18
Sauce armoricaine, préemballée;83,600;2,1;3,95;6,6
Sauce tomate à la viande ou Sauce bolognaise, préemballée;89,250;4,22;7,27;4,81
Sauce au poivre vert, préemballée;81,300;1,3;5,3;6,1
Sauce madère, préemballée;36,600;0,6;3,6;2,2
Sauce à l'échalote à la crème, préemballée;104,170;1,7;11,9;5,53
Sauce carbonara, préemballée;154,680;5,17;4,7;12,8
Sauce chasseur, préemballée;37,970;1,21;4,66;1,61
Sauce au beurre blanc, préemballée;210,720;1,13;3,4;21,4
Sauce béchamel, maison;146,640;3,84;8,97;10,6
Sauce au beurre, préemballée;190,700;2,2;5,2;17,9
Sauce à la crème;77,870;1,08;5,9;5,55
Sauce aux champignons, préemballée;94,340;3,2;6,3;6,26
Sauce à la crème aux épices;81,190;1,16;6,2;5,75
Sauce à la crème aux herbes;75,770;1,09;5,5;5,49
Sauce aigre douce, préemballée;84,400;0,55;20,1;0,2
Sauce au vin rouge;51,220;0,81;7;2,22
Sauce tomate aux champignons, préemballée;62,400;1,79;7,78;2,68
Sauce tomate aux olives, préemballée;101,520;1,41;7,5;7,32
Sauce au poivre, chaude, préemballée;156,400;1;4,8;14,8
Sauce au fromage pour risotto ou pâtes, préemballée;115,170;3,11;4,24;9,53
Sauce au roquefort, préemballée;127,100;2,85;4,4;10,9
Sauce aux champignons et à la crème, préemballée;75,320;1,38;6,2;5
Sauce grand veneur, préemballée;102,800;1,5;8,45;7
Sauce indienne type tandoori ou tikka masala, préemballée;82,900;2,6;14,3;1,7
Sauce tomate aux petits légumes, préemballée;62,540;1,54;7,57;2,9
Sauce tomate au fromage, préemballée;175,920;3,94;8,09;14,2
Sauce pesto rosso, préemballée;296,520;4,8;8,58;27
Sauce à l'oseille, préemballée;147,000;1,3;1,7;15
Meloukhia, sauce, artisanale;194,320;1,13;0,2;21
Câpres, au vinaigre;30,460;2,18;3,5;0,86
Tapenade;222,600;1,3;2,6;23
Oignon au vinaigre;14,040;0,56;2,5;0,2
Vinaigre de cidre;3,720;0;0,93;0
Olive noire, en saumure, égouttée;160,320;1,38;0,000;17,2
Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);147,600;2,09;0,61;15,2
Raifort, cru;88,300;7,5;13;0,7
Agar (algue), cru;27,430;0,54;6,25;0,03
Agar (algue), séché;20,140;4,36;0,000;0,3
Spiruline (Spirulina sp.), séchée ou déshydratée;380,680;57,5;20,3;7,72
Boisson diététique pour le sport;22,300;0,000;5,26;0,14
Levure de boulanger, compressée;97,620;8,23;11,9;1,9
Levure de boulanger, déshydratée;306,930;44,5;17,9;6,37
Levure chimique ou Poudre à lever;142,440;1,96;33,2;0,2
"Préparation culinaire à base de soja, type ""crème de soja""";153,420;3,25;2,03;14,7
Miso;162,990;10,7;18,1;5,31
Sirop pour fruits appertisés au sirop;73,600;0,000;18,4;0,000
Sirop léger pour fruits appertisés au sirop;61,360;0,34;15;0,000
Jus d'ananas pour ananas appertisé au jus;54,800;0,000;13,7;0,000
Gelée royale;144,000;13;14;4
Boisson aux fruits pour bébé dès 4/6mois;38,000;0,000;9,5;0,000
Boisson à base de plantes pour bébé;23,200;0,000;5,8;0,000
Boisson infantile céréales lactées aux légumes pour diner dès 12 mois;174,770;0,000;23,6;8,93
Lait infantile pour prématurés, prêt à consommer;416,300;0,000;48,5;24,7
Petit pot fruit avec banane pour bébé;52,000;0,6;12,4;0,000
Petit pot fruit sans banane pour bébé;48,760;0,29;11,9;0,000
Eau de source, embouteillée (aliment moyen);0,000;0;0;0
Eau minérale, embouteillée, faiblement minéralisée (aliment moyen);0,000;0;0;0
Eau minérale (aliment moyen);0,000;0;0;0
Eau minérale, plate (aliment moyen);0,000;0;0;0
Eau minérale, gazeuse (aliment moyen);0,000;0;0;0
Eau du robinet;0,000;0;0;0
Eau embouteillée de source;0,000;0;0;0
Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33);0,000;0;0;0
Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73);0,000;0;0;0
Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07);0,000;0;0;0
Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59);0,000;0;0;0
Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07);0,000;0;0;0
Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63);0,000;0;0;0
Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67);0,000;0;0;0
Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45);0,000;0;0;0
Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07);0,000;0;0;0
Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63);0,000;0;0;0
Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63);0,000;0;0;0
Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);0,000;0;0;0
Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88);0,000;0;0;0
Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40);0,000;0;0;0
Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique);0,000;0;0;0
Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique);0,000;0;0;0
Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);0,000;0;0;0
Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88);0,000;0;0;0
Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63);0,000;0;0;0
Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34);0,000;0;0;0
Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31);0,000;0;0;0
Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81);0,000;0;0;0
Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64);0,000;0;0;0
Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);0,000;0;0;0
Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B);0,000;0;0;0
Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);0,000;0;0;0
Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22);0,000;0;0;0
Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);0,000;0;0;0
Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);0,000;0;0;0
Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48);0,000;0;0;0
Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07);0,000;0;0;0
Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63);0,000;0;0;0
Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42);0,000;0;0;0
Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34);0,000;0;0;0
Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59);0,000;0;0;0
Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82);0,000;0;0;0
Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63);0,000;0;0;0
Eau minérale Ste-Marguerite, embouteillée, gazeuse, moyennement minéralisée (St-Maurice, 63);0,000;0;0;0
Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03);0,000;0;0;0
Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74);0,000;0;0;0
Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07);0,000;0;0;0
Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07);0,000;0;0;0
Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03);0,000;0;0;0
Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88);0,000;0;0;0
Eau minérale Volvic, embouteillée, non gazeuse, faiblement minéralisée (Volvic, 63);0,000;0;0;0
Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63);0,000;0;0;0
Eau minérale Wattwiller, embouteillée, gazeuse ou non gazeuse, faiblement minéraliséee (Wattwiller, 68);0,000;0;0;0
Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30);0,000;0;0;0
Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42);0,000;0;0;0
Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce);0,000;0;0;0
Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg);0,000;0;0;0
Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique);0,000;0;0;0
Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne);0,000;0;0;0
Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie);0,000;0;0;0
Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie);0,000;0;0;0
Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);0,000;0;0;0
Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce);0,000;0;0;0
Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);0,000;0;0;0
Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie);0,000;0;0;0
Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie);0,000;0;0;0
Eau minérale Spa-Reine, embouteillée, gazeuse ou non non gazeuse, moyennement minéralisée (Belgique);0,000;0;0;0
Eau minérale Valvert, embouteillée, non gazeuse, faiblement minéralisée (Belgique);0,000;0;0;0
Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne);0,000;0;0;0
Eau de source Cristaline, embouteillée, non gazeuse;0,000;0;0;0
Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40);0,000;0;0;0
Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34);0,000;0;0;0
Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974);0,000;0;0;0
Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);0,000;0;0;0
Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09);0,000;0;0;0
Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04);0,000;0;0;0
Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68);0,000;0;0;0
Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64);0,000;0;0;0
Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64);0,000;0;0;0
Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82);0,000;0;0;0
Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42);0,000;0;0;0
Eau minérale St-Géron, embouteillée, gazeuse, moyennement minéralisée (St-Géron, 43);0,000;0;0;0
Eau minérale St-Michel-de-Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34);0,000;0;0;0
Eau minérale Treignac, embouteillée, non gazeuse, très faiblement minéralisée (Treignac, 19);0,000;0;0;0
Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals-les-Bains, 07);0,000;0;0;0
Eau minérale Vauban, embouteillée, non gazeuse, moyennement minéralisée (St-Amand-les-Eaux, 59);0,000;0;0;0
Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68);0,000;0;0;0
Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie);0,000;0;0;0
Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse);0,000;0;0;0
Thé oolong, infusé, non sucré;0,000;0;0;0
Huile de paraffine;0,000;0;0;0
Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme);0,000;0;0;0
Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme);0,000;0;0;0
Fleur de sel, non iodée, non fluorée;0,000;0;0;0
Sel marin gris, non iodé, non fluoré;0,000;0;0;0
Sel blanc alimentaire, iodé, fluoré à 25 mg /100 g (marin, ignigène ou gemme);0,000;0;0;0
Thé infusé, non sucré;0,063;0;0;0,007
Bicarbonate de soude;0,400;0,1;0;0
Cola, non sucré, avec édulcorants, sans caféine;0,800;0;0,2;0
Tisane infusée, non sucrée;0,872;0;0,2;0,008
Thé noir, infusé, non sucré;1,263;0;0,3;0,007
Cola, non sucré, avec édulcorants;1,241;0,081;0,11;0,053
Café, instantané, non sucré, prêt à boire;1,636;0,1;0,3;0,004
Poisson blanc à la florentine (sauce aux épinards), préemballé;96,350;11,4;2,9;4,35
Lieu jaune ou colin, cuit;102,100;24,4;0,000;0,500
Brochet, rôti/cuit au four;100,320;23,1;0,000;0,88
Dessert lacté infantile nature sucré ou aux fruits;94,260;3,19;12,5;3,5
Fruit de la passion ou maracudja, pulpe et pépins, cru;79,120;2,13;10,9;3
Compote de pomme;100,410;0,23;24,4;0,21
Compote, tout type de fruits;96,428;0,000;23,9;0,092
Riz sauvage, cuit, non salé;97,060;3,8;19,7;0,34
Boeuf, gîte à la noix, cuit;101,900;21;0,2;1,9
Dorade rose, ou daurade rose, crue;102,000;21;0,000;2
Moule, appertisée, égouttée;101,920;14,6;5,93;2,2
Lasagnes ou cannellonis aux légumes, préemballées, cuits;98,650;2,75;11;4,85
Rouleau de printemps;101,060;4,57;16,6;1,82
Chevreau, cru;103,190;20,6;0;2,31
Canard, cuisse avec peau, sans os, crue;102,700;18,7;0,000;3,1
Coeur, boeuf, cru;103,350;18,5;0,7;2,95
Omble chevalier, cru;103,500;19,8;0,000;2,7
Lait de brebis, entier;103,450;5,68;4,5;6,97
Viande en sauce (aliment moyen);101,200;11,3;3,65;4,6
Nouilles sautées/poêlées aux crevettes;100,520;4,88;12,6;3,4
Jambon de dinde ou Blanc de dinde en tranche;103,790;20,9;1,29;1,67
Carangue, cru;103,900;19,9;0,000;2,7
Brème, cru;103,600;16,9;0,000;4
Fruits de mer (aliment moyen);103,680;18,9;3,06;1,76
Crabe, cru;103,848;19,5;0,027;2,86
Salade de chou ou Coleslaw, avec sauce, préemballée;99,780;0,94;5,78;8,1
Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru;103,980;6,13;8,39;5,1
Couscous au poisson;101,200;7,5;14,2;1,6
Haricot de Lima, cru;96,300;6,84;15,3;0,86
Fruit à pain, cru;95,150;1,07;22,2;0,23
Gésier, poulet, cru;105,350;17,3;0,6;3,75
Julienne ou Lingue, cuite;105,380;24,5;0,000;0,82
Crevette, surgelée, crue;104,660;23,4;0,74;0,9
Crème dessert à la vanille, rayon frais;102,240;3,06;14,4;3,6
Crème anglaise, préemballée;103,060;3,44;16,7;2,5
Poisson blanc, de mer, cuit (aliment moyen);106,400;22,1;0;2
Maïs doux, appertisé, égoutté;100,000;2,82;18,4;1,68
Cheval, tende de tranche, crue;105,920;22,7;0,000;1,68
Coeur, veau, cru;106,160;16,1;1,8;3,84
Jambon de poulet ou Blanc de poulet en tranche;104,470;20,7;1,39;1,79
Cabillaud, cuit à la vapeur;106,550;24,5;0,000;0,95
Langouste, bouillie/cuite à l'eau;106,080;21,8;1,3;1,52
Poulet basquaise, préemballé;104,800;9,3;2,5;6,4
Poisson blanc, cuit (aliment moyen);107,620;22;0;2,18
Taro, tubercule, cru;99,000;1,5;22,8;0,2
Pintade, poitrine, crue;106,700;25,1;0;0,7
Thym, frais;79,360;5,56;10,5;1,68
Lapin à la moutarde, préemballé;106,600;14,9;0,5;5
Couscous de légumes, préemballé;103,130;4,32;16,4;2,25
Veau, escalope, crue;108,520;20,7;0,58;2,6
Lapin de garenne, viande, crue;108,080;21,8;0;2,32
Thon albacore ou thon jaune, cru;108,460;25;0,000;0,94
Loup tacheté, cru;108,400;16,3;0,000;4,8
Moule, bouillie/cuite à l'eau;108,090;17,2;5,12;2,09
Choucroute garnie, préemballée;103,980;5,06;2,8;8,06
Igname, épluchée, bouillie/cuite à l'eau;101,620;1,49;23,6;0,14
Dinde, escalope, crue;109,420;24,1;0,51;1,22
Dinde, cuisse, viande sans peau, crue;109,300;21,3;0,4;2,5
Coeur, porc, cru;108,970;17,1;0,4;4,33
Requin, cru;109,390;20,8;0,000;2,91
Turbot d'élevage, cru;108,660;18,3;0,000;3,94
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème;106,200;2,42;14,5;4,28
Gelée au madère;11,290;2;0,8;0,01
Poulet, filet, sans peau, cru;107,100;23,4;0;1,5
Dinde, viande, crue;109,720;22,4;0,8;1,88
Chevreuil, cru;110,000;23;0;2
Rôti de volaille en salaison, cuit;108,690;22;1,28;1,73
Coquille Saint-Jacques, noix et corail, cuite;109,610;20,2;3,22;1,77
Igname, épluchée, crue;102,850;1,53;23,8;0,17
Boulgour de blé, cuit, non salé;106,220;3,73;21,7;0,5
Boeuf, rond de gîte, cru;111,300;22,9;0,38;2,02
Veau, noix, crue;110,420;21,8;0;2,58
Lièvre, viande crue;110,430;21,6;0;2,67
Truite de mer, crue;111,070;19,6;0,000;3,63
Hareng maigre, cru;111,180;18,3;0,000;4,22
Crabe, miettes et ou pattes décortiquées, appertisé, égoutté;110,280;14,8;8,72;1,8
Oeufs de lompe, semi-conserve;111,030;10,4;1;7,27
Thon, au naturel, appertisé, égoutté;110,800;26,8;0;0,4
Flan aux oeufs, rayon frais;110,120;4,08;18,5;2,2
Ail, cru;95,640;5,31;18,6;0,000
Tripes à la mode de Caen, préemballées;108,980;18,4;0,7;3,62
Haricot blanc, bouilli/cuit à l'eau;84,900;6,75;12;1,1
Haricot flageolet, bouilli/cuit à l'eau;84,900;6,75;12;1,1
Brochette d'agneau;106,460;12,6;2,54;5,1
Merlu, cuit à l'étouffée;111,800;21,2;0,000;3
Blanquette de veau;110,000;15,4;3,1;4
Poulet, viande, crue;113,570;20;0;3,73
Poulet, filet, sans peau, cru, label rouge;109,800;25,2;0;1
Cerf, cru;113,160;23,7;0;2,04
Morue, salée, bouillie/cuite à l'eau;113,090;26;0,000;1,01
Bar rayé ou bar d'Amérique, cru;113,420;20,3;0,000;3,58
Mulet, cru;112,980;20,1;0,000;3,62
Céleri rémoulade, préemballé;108,120;0,94;3,14;10,2
Poisson blanc sauce oseille, préemballé;112,300;11,8;3,9;5,5
Boeuf, rumsteck, cru;114,100;22,5;0,4;2,5
Poulet, cuisse, viande, cru;113,650;19,3;0;4,05
Jambon cuit, choix, découenné dégraissé;114,000;19,6;1,61;3,24
Carpe, crue, élevage;113,640;17,7;0,000;4,76
Jambon cuit, de Paris, découenné dégraissé;115,100;20;1,08;3,42
Congre, cru;114,600;18,3;0,000;4,6
Corégone lavaret, cru;115,480;20,5;0,000;3,72
Yaourt, lait fermenté ou spécialité laitière, nature, à la crème;112,760;3,06;3,08;9,8
Gâteau de riz, appertisé;114,260;4,29;20;1,9
Tripes à la mode de Caen;115,920;20,4;0,3;3,68
Pâtes à la bolognaise (spaghetti, tagliatelles…);112,310;5,32;13,6;4,07
Haricot rouge, bouilli/cuit à l'eau;93,120;9,63;12,3;0,6
Mil, cuit, non salé;112,640;3,51;22,4;1
Boeuf, tende de tranche, crue;115,740;23,1;0,57;2,34
Poulet, haut de cuisse, viande, cru;115,880;19,7;0;4,12
Chinchard, cru;115,780;19;0,000;4,42
Fromage blanc nature, gourmand, 8% MG environ;114,610;6,19;5,25;7,65
Crème dessert au café, rayon frais;116,130;2,93;17,8;3,69
Boulettes au boeuf, à la sauce tomate, préemballées;116,500;9;5,5;6,5
Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit;115,380;6,69;5,28;7,5
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;115,190;6,39;8,57;6,15
Riz basmati, cuit, non salé;113,960;2,74;24,4;0,6
Boeuf, rosbif, rôti/cuit au four;117,240;21,9;0,3;3,16
Porc, filet, maigre, cru;117,200;21,2;0;3,6
Cervelle, veau, crue;117,090;10,3;0,5;8,21
Jambon cuit, supérieur, découenné;116,760;20,5;0,77;3,52
Truite arc en ciel, élevage, cuite à la vapeur;117,260;20;0,000;4,14
Crème dessert au caramel, rayon frais;117,310;2,92;18,6;3,47
Petit salé ou saucisse aux lentilles, préemballé;112,350;8,24;8,89;4,87
Chili con carne, préemballé;110,670;7,13;13;3,35
Boeuf, boule de macreuse, crue;117,440;21,8;0;3,36
Veau, jarret, cru;118,140;21,3;0;3,66
Poulet, filet, sans peau, cru, bio;114,600;24,6;0;1,8
Cheval, entrecôte, crue;118,460;22,1;0,000;3,34
Filet de bacon;118,600;23,1;0,7;2,6
Turbot, rôti/cuit au four;117,960;21,3;0,000;3,64
Orge perlée, bouilli/cuite à l'eau, non salée;110,600;2,26;24,4;0,44
Coeur, agneau, cru;118,720;16,5;0,4;5,68
Jambon cuit, supérieur, découenné dégraissé;118,260;20,3;1,03;3,66
Perche, rôtie/cuite au four;119,180;22,1;0,000;3,42
Pêche melba;116,020;2,06;18,8;3,62
Palette à la diable, préemballée;116,950;13,5;2,08;6,07
Risotto, aux légumes, préemballé;118,760;2,74;18,4;3,8
Foie, veau, cru;115,160;15,5;5,64;3,4
Crème pâtissière;119,560;3,79;18;3,6
Foie, veau, cuit;121,060;19;4,47;3,02
Cheval, faux-filet, cru;121,020;22,2;0,000;3,58
Pintade, cuisse, crue;121,200;21,3;0;4
Foie, poulet, cru;121,180;18,8;1,1;4,62
Jambon cuit, supérieur, à teneur réduite en sel;120,630;20,8;0,74;3,83
Épaule de porc, cuite, choix, découennée dégraissée;120,220;18;1,93;4,5
Dés, allumettes, râpé ou haché de jambon;120,060;17,9;2,08;4,46
Vivaneau, cuit;120,680;26,3;0,000;1,72
